Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1774823422.5348904,-29.39789390563965,6.899877548217773,0
1774823422.5358896,-32.88809585571289,7.135650634765625,0
1774823422.5378902,-32.9017333984375,7.734169006347656,0
1774823422.5418925,-27.98784637451172,6.759849548339844,0
1774823422.5428905,-28.084238052368164,5.774694442749023,0
1774823422.5528924,-30.56987190246582,8.36817741394043,0
1774823422.5538905,-32.32541275024414,6.735557556152344,0
1774823422.5742657,-18.743751525878906,7.700904846191406,0
1774823422.5752318,-19.495161056518555,7.41697883605957,0
1774823422.6063952,-27.07486915588379,5.872026443481445,0
1774823422.6384735,-25.26470184326172,7.5454864501953125,0
1774823422.6703985,-19.746057510375977,7.605255126953125,0
1774823422.7022645,-24.52263832092285,6.961544036865234,0
1774823422.7342398,-18.760419845581055,5.953571319580078,0
1774823422.766783,-20.988035202026367,6.380334854125977,0
1774823422.7997954,-20.095462799072266,7.007741928100586,0
1774823422.8315341,-21.34757423400879,6.929059982299805,0
1774823422.8625762,-26.91750144958496,7.008039474487305,0
1774823422.8940732,-25.119644165039062,8.635581970214844,0
1774823422.9267616,-25.411346435546875,7.185955047607422,0
1774823422.9581933,-26.615684509277344,7.013542175292969,0
1774823422.9904377,-29.86586570739746,6.784368515014648,0
1774823423.0229359,-27.539794921875,9.012828826904297,0
1774823423.0549312,-28.061716079711914,8.760358810424805,0
1774823423.0871055,-31.280548095703125,6.444377899169922,0
1774823423.1184683,-30.580259323120117,6.826173782348633,0
1774823423.1510382,-32.73348617553711,7.1877899169921875,0
1774823423.1821356,-22.43949317932129,7.854183197021484,0
1774823423.2145035,-21.979440689086914,6.892377853393555,0
1774823423.2470057,-32.654415130615234,6.92041015625,0
1774823423.2780275,-30.69890785217285,6.015710830688477,0
1774823423.3117034,-29.821149826049805,5.303201675415039,0
1774823423.3416467,-27.951904296875,6.866992950439453,0
1774823423.3736737,-27.822011947631836,6.835111618041992,0
1774823423.4065676,-22.733861923217773,8.181100845336914,0
1774823423.4382677,-23.932456970214844,7.466791152954102,0
1774823423.4702935,-22.16118812561035,8.912101745605469,0
1774823423.5020044,-24.689023971557617,6.08355712890625,0
1774823423.534142,-22.259727478027344,6.6424407958984375,0
1774823423.566419,-29.814603805541992,6.959630966186523,0
1774823423.5978546,-28.093246459960938,6.566993713378906,0
1774823423.6302211,-24.86659049987793,7.482400894165039,0
1774823423.6625874,-27.118410110473633,8.155660629272461,0
1774823423.6941566,-26.601478576660156,6.915733337402344,0
1774823423.726571,-28.19725227355957,6.142621994018555,0
1774823423.7572732,-24.08415412902832,6.567831039428711,0
1774823423.7897801,-21.62049674987793,7.5301513671875,0
1774823423.8220637,-25.106931686401367,7.721624374389648,0
1774823423.8544955,-20.478166580200195,9.15837287902832,0
1774823423.8870597,-21.37764549255371,6.492902755737305,0
1774823423.9179957,-18.405656814575195,8.188131332397461,0
1774823423.9506912,-25.908126831054688,6.2621612548828125,0
1774823423.9818025,-22.21820640563965,6.3326568603515625,0
1774823424.0135922,-21.891164779663086,7.670671463012695,0
1774823424.0468588,-21.557907104492188,6.61500358581543,0
1774823424.0783198,-26.82602882385254,6.927408218383789,0
1774823424.11041,-27.7745304107666,7.316568374633789,0
1774823424.142412,-30.87009620666504,6.375871658325195,0
1774823424.1739383,-25.27919578552246,7.46110725402832,0
1774823424.2062664,-28.644567489624023,8.864217758178711,0
1774823424.2386465,-24.51340675354004,7.42633056640625,0
1774823424.2705884,-29.38718605041504,6.878641128540039,0
1774823424.3019133,-21.878515243530273,5.935916900634766,0
1774823424.334864,-32.52105712890625,8.090373992919922,0
1774823424.365621,-25.87801170349121,8.84840202331543,0
1774823424.398329,-32.04457092285156,7.199985504150391,0
1774823424.4300642,-28.96045684814453,6.607143402099609,0
1774823424.4620483,-26.816373825073242,8.491601943969727,0
1774823424.4944656,-30.344297409057617,7.341394424438477,0
1774823424.5266972,-29.618505477905273,8.401784896850586,0
1774823424.5586722,-21.16231918334961,7.7905731201171875,0
1774823424.5906448,-20.531953811645508,7.3900604248046875,0
1774823424.6226737,-27.91219139099121,6.928922653198242,0
1774823424.6542606,-22.53515625,6.702869415283203,0
1774823424.686872,-33.35633850097656,7.660945892333984,0
1774823424.7183275,-29.108543395996094,6.512599945068359,0
1774823424.7501998,-32.02471923828125,7.381080627441406,0
1774823424.7822473,-29.295333862304688,8.122978210449219,0
1774823424.8149927,-33.12697219848633,9.012397766113281,0
1774823424.8465838,-34.03419494628906,7.41571044921875,0
1774823424.8785343,-30.78737449645996,5.972822189331055,0
1774823424.910198,-24.340917587280273,6.920083999633789,0
1774823424.9426258,-24.753999710083008,6.860324859619141,0
1774823424.9746263,-24.043853759765625,7.152505874633789,0
1774823425.005299,-23.217294692993164,7.703752517700195,0
1774823425.0379648,-26.61004066467285,7.307607650756836,0
1774823425.070629,-27.237951278686523,6.292627334594727,0
1774823425.1019952,-23.273414611816406,6.248361587524414,0
1774823425.1333427,-25.84320831298828,6.567073822021484,0
1774823425.1662931,-18.446191787719727,6.926374435424805,0
1774823425.1984103,-19.943519592285156,8.84931755065918,0
1774823425.2309358,-27.52667236328125,7.1110687255859375,0
1774823425.2633033,-21.38165855407715,6.584415435791016,0
1774823425.2953851,-33.94540023803711,6.392475128173828,0
1774823425.327497,-24.245840072631836,6.964988708496094,0
1774823425.3589232,-31.48785400390625,7.181819915771484,0
1774823425.3900452,-29.716964721679688,6.751552581787109,0
1774823425.4219306,-27.585119247436523,7.149557113647461,0
1774823425.454483,-25.636838912963867,6.798711776733398,0
1774823425.487101,-27.5643367767334,6.874547958374023,0
1774823425.518129,-19.781784057617188,8.293540954589844,0
1774823425.5504274,-19.00326156616211,7.819986343383789,0
1774823425.5824413,-29.28447151184082,6.513582229614258,0
1774823425.6136103,-28.860483169555664,6.976037979125977,0
1774823425.6457572,-19.078216552734375,7.301252365112305,0
1774823425.6791654,-20.845304489135742,6.843294143676758,0
1774823425.7111604,-27.4958553314209,7.362543106079102,0
1774823425.7432542,-24.330068588256836,7.014919281005859,0
1774823425.774638,-27.69954490661621,9.362272262573242,0
1774823425.8059468,-30.58832359313965,7.632390975952148,0
1774823425.8384247,-30.696252822875977,9.176263809204102,0
1774823425.8709059,-21.124467849731445,8.148536682128906,0
1774823425.9023526,-27.41156578063965,7.18351936340332,0
1774823425.9348094,-28.33232307434082,8.360956192016602,0
1774823425.9672043,-20.236907958984375,8.238288879394531,0
1774823425.9981997,-18.869409561157227,9.024267196655273,0
1774823426.029715,-24.80727195739746,6.775753021240234,0
1774823426.0621092,-17.96201515197754,6.4520263671875,0
1774823426.0937555,-20.980806350708008,6.785364151000977,0
1774823426.1262493,-27.94498634338379,6.641107559204102,0
1774823426.1578648,-27.002710342407227,7.979799270629883,0
1774823426.1904986,-26.309629440307617,7.548849105834961,0
1774823426.2233226,-24.032941818237305,7.18596076965332,0
1774823426.2545733,-20.23640251159668,7.639080047607422,0
1774823426.2863574,-27.52849578857422,7.137580871582031,0
1774823426.3189957,-20.5599365234375,8.302116394042969,0
1774823426.3505344,-28.541778564453125,6.935764312744141,0
1774823426.3833785,-29.27897071838379,7.157384872436523,0
1774823426.413991,-18.30800437927246,6.670589447021484,0
1774823426.4461536,-23.160593032836914,7.6053009033203125,0
1774823426.4795246,-17.7925968170166,7.44914436340332,0
1774823426.5101385,-21.422698974609375,7.063129425048828,0
1774823426.5426736,-31.010313034057617,8.658163070678711,0
1774823426.5747359,-25.588808059692383,6.592096328735352,0
1774823426.6067438,-30.48801612854004,5.964380264282227,0
1774823426.638444,-23.101987838745117,5.563392639160156,0
1774823426.669557,-22.413061141967773,8.861875534057617,0
1774823426.7027142,-24.963544845581055,6.759586334228516,0
1774823426.734697,-25.956266403198242,6.765466690063477,0
1774823426.7668529,-16.75040626525879,6.9576568603515625,0
1774823426.7986033,-27.022125244140625,5.301784515380859,0
1774823426.8303306,-18.619279861450195,7.238250732421875,0
1774823426.8625183,-23.980499267578125,8.584548950195312,0
1774823426.8948743,-24.502981185913086,8.420755386352539,0
1774823426.9275455,-31.87579345703125,9.928009033203125,0
1774823426.9584477,-33.389190673828125,8.678276062011719,0
1774823426.9911888,-24.51337432861328,8.26034927368164,0
1774823427.022483,-22.562088012695312,7.340860366821289,0
1774823427.0541708,-22.40996742248535,7.859949111938477,0
1774823427.0864654,-23.921859741210938,5.859893798828125,0
1774823427.1179416,-25.3377685546875,7.114925384521484,0
1774823427.1502273,-27.503198623657227,6.694780349731445,0
1774823427.1827068,-21.6229190826416,6.981698989868164,0
1774823427.2145324,-26.32930564880371,6.755277633666992,0
1774823427.246567,-26.29987335205078,7.456127166748047,0
1774823427.2779763,-20.44022560119629,8.063405990600586,0
1774823427.3106093,-26.188730239868164,6.512426376342773,0
1774823427.343519,-28.45555305480957,7.495096206665039,0
1774823427.3756776,-26.266149520874023,8.26371955871582,0
1774823427.4064443,-31.509103775024414,8.712652206420898,0
1774823427.4389894,-31.450578689575195,9.353860855102539,0
1774823427.4703422,-26.424489974975586,7.141443252563477,0
1774823427.4713516,-19.220108032226562,7.605377197265625,0
1774823427.5030377,-25.40838623046875,7.409393310546875,0
1774823427.5343919,-24.122034072875977,7.719211578369141,0
1774823427.5660129,-31.896278381347656,5.885623931884766,0
1774823427.5982966,-21.381017684936523,6.339788436889648,0
1774823427.599303,-28.449926376342773,8.973260879516602,0
1774823427.6313028,-29.18217658996582,8.343725204467773,0
1774823427.662561,-22.149017333984375,7.139976501464844,0
1774823427.6963682,-18.28821563720703,7.504262924194336,0
1774823427.725741,-20.101388931274414,8.56260871887207,0
1774823427.7267456,-19.828481674194336,9.93032455444336,0
1774823427.759647,-26.88848114013672,7.650585174560547,0
1774823427.7907345,-22.493886947631836,7.308576583862305,0
1774823427.8228438,-26.559675216674805,7.453252792358398,0
1774823427.8547456,-25.261350631713867,7.123479843139648,0
1774823427.886397,-31.521211624145508,6.871999740600586,0
1774823427.9184175,-30.139556884765625,7.17962646484375,0
1774823427.950308,-30.114242553710938,6.936420440673828,0
1774823427.9853249,-30.64642333984375,7.172481536865234,0
1774823428.0144854,-20.236488342285156,6.8766632080078125,0
1774823428.0144854,-22.74055290222168,7.7219085693359375,0
1774823428.046301,-25.947227478027344,6.418769836425781,0
1774823428.0774736,-18.56159782409668,8.042184829711914,0
1774823428.1124055,-24.267684936523438,5.672267913818359,0
1774823428.1423972,-20.682058334350586,7.777490615844727,0
1774823428.1434195,-20.72706413269043,7.220479965209961,0
1774823428.17486,-29.85127830505371,7.326738357543945,0
1774823428.2054307,-23.80816650390625,5.787641525268555,0
1774823428.2418077,-28.31254768371582,7.029985427856445,0
1774823428.2696238,-21.91434669494629,6.959819793701172,0
1774823428.2720892,-18.410184860229492,7.381542205810547,0
1774823428.301681,-27.27460479736328,6.948711395263672,0
1774823428.3348398,-27.27031707763672,7.107875823974609,0
1774823428.3703115,-30.94523048400879,7.031805038452148,0
1774823428.3991432,-26.23789405822754,7.706308364868164,0
1774823428.4001114,-23.070581436157227,7.056556701660156,0
