Timestamp,Mean_PSD_dB,SNR_dB,PU_Present
1774455502.6297038,-31.636245727539062,7.484813690185547,0
1774455502.630676,-29.99091148376465,6.67839241027832,0
1774455502.6326785,-32.75450134277344,8.879413604736328,1
1774455502.636678,-31.96459197998047,6.576332092285156,0
1774455502.6376755,-31.48170280456543,5.976007461547852,0
1774455502.6429427,-30.907989501953125,7.0478363037109375,0
1774455502.6479504,-31.042999267578125,7.115680694580078,0
1774455502.6689548,-31.645111083984375,6.555225372314453,0
1774455502.701183,-32.3179817199707,8.695743560791016,1
1774455502.7332418,-31.843414306640625,7.500789642333984,0
1774455502.764847,-31.87922477722168,9.19752311706543,1
1774455502.7975307,-32.1025505065918,7.580600738525391,0
1774455502.828411,-31.594240188598633,8.632871627807617,1
1774455502.8603616,-32.19590377807617,7.5780029296875,0
1774455502.8929467,-32.6242561340332,8.874774932861328,1
1774455502.925592,-31.972471237182617,6.570917129516602,0
1774455502.9574604,-31.96637535095215,6.901933670043945,0
1774455502.9895723,-30.97947120666504,6.858030319213867,0
1774455503.0212605,-31.342880249023438,8.543838500976562,1
1774455503.0535486,-31.345815658569336,7.044889450073242,0
1774455503.086234,-31.609983444213867,6.960847854614258,0
1774455503.119947,-32.94123458862305,7.461982727050781,0
1774455503.1525743,-31.053895950317383,6.841520309448242,0
1774455503.1835482,-31.373605728149414,6.44282341003418,0
1774455503.2154257,-32.51704406738281,7.301227569580078,0
1774455503.2461364,-31.87188148498535,8.426538467407227,1
1774455503.281195,-31.704225540161133,6.36146354675293,0
1774455503.3129969,-31.538415908813477,7.305723190307617,0
1774455503.3445008,-30.821578979492188,7.322776794433594,0
1774455503.3769317,-31.215057373046875,7.737327575683594,0
1774455503.4066403,-31.34770393371582,6.732168197631836,0
1774455503.4396677,-31.059072494506836,6.439359664916992,0
1774455503.4688935,-32.27617263793945,6.440467834472656,0
1774455503.502914,-32.2309455871582,7.414485931396484,0
1774455503.5342145,-31.90226173400879,6.990716934204102,0
1774455503.5665326,-31.78706932067871,9.108850479125977,1
1774455503.6012654,-31.74217414855957,6.295846939086914,0
1774455503.6304767,-31.803998947143555,7.088968276977539,0
1774455503.6629248,-31.37241554260254,6.720830917358398,0
1774455503.6979635,-31.72340965270996,7.943513870239258,0
1774455503.726937,-30.728666305541992,7.776117324829102,0
1774455503.7610147,-31.729646682739258,7.601831436157227,0
1774455503.7910213,-32.522884368896484,8.071109771728516,0
1774455503.8250804,-31.27004051208496,6.771242141723633,0
1774455503.855646,-31.296236038208008,7.539960861206055,0
1774455503.8857808,-30.866689682006836,6.702436447143555,0
1774455503.91914,-30.467483520507812,6.218250274658203,0
1774455503.952104,-31.268747329711914,5.985570907592773,0
1774455503.983713,-31.0926513671875,7.785987854003906,0
